latitude,longitude,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_7d_mm,temperature_c,humidity_percent,elevation_m,slope_degree,aspect_degree,historical_landslide_count,landslide_occurred
9.47056,74.80359,11.93,35.45,40.04,411.65,29.78,79.31,727.39,21.67,322.29,0,0
23.42408,96.47958,1.3,24.21,50.13,292.65,27.85,92.02,4147.11,8.59,137.59,1,0
24.32733,93.99207,0.72,14.9,39.14,396.19,23.96,63.8,2873.65,32.28,251.02,0,1
19.59989,89.6693,13.57,37.27,50.61,183.69,25.86,49.72,260.73,34.4,124.55,2,1
25.61282,95.50567,8.57,31.8,96.77,300.86,30.87,51.89,229.8,45.93,330.74,0,0
29.75934,69.41975,1.06,24.3,154.15,292.17,5.71,83.35,813.73,29.25,298.94,2,1
16.69093,91.2661,5.13,18.52,119.55,322.15,16.49,84.77,3506.96,7.61,281.52,1,0
12.77473,96.9521,6.2,21.69,64.61,226.14,25.99,74.49,3559.0,17.75,282.41,0,0
17.84087,68.77526,8.49,20.36,33.38,136.67,29.89,46.25,3236.52,37.58,12.57,5,0
17.27025,73.6183,19.54,72.69,125.84,235.64,0.05,45.38,1643.69,19.76,147.04,0,0
26.02053,92.66082,8.51,31.71,84.01,346.89,33.24,65.03,3332.58,18.35,349.74,3,1
28.71058,91.09196,4.68,14.15,42.62,192.39,19.54,49.88,1029.27,19.56,19.95,0,0
9.34661,96.31911,11.52,31.81,81.64,232.81,9.76,59.46,1058.06,43.69,147.41,1,1
8.12249,82.85911,10.2,23.16,61.53,218.07,24.96,73.01,4174.4,29.04,7.57,0,1
31.45516,86.79309,1.39,26.11,56.48,160.92,17.9,71.93,1505.94,5.81,132.78,0,0
16.22005,94.56105,5.42,45.29,84.64,289.26,24.63,83.77,2158.33,14.31,242.06,1,0
11.46264,79.98579,5.56,13.29,34.93,63.47,2.0,74.9,1526.89,33.98,343.16,1,0
8.23764,81.40706,9.74,25.81,43.64,302.69,18.27,50.69,1710.01,31.75,94.98,3,0
28.76603,71.72652,10.7,29.86,78.88,220.16,27.63,43.76,547.03,14.55,3.06,0,0
23.41032,94.43709,22.87,35.44,156.74,218.25,33.03,92.85,1824.52,22.36,274.02,1,0
21.72834,92.91129,2.41,17.11,35.09,293.04,20.61,71.28,2087.45,24.4,26.78,1,0
24.35797,71.9721,4.27,5.65,45.87,159.32,2.26,81.05,3429.88,25.68,219.43,3,0
12.66891,78.3979,6.21,11.56,70.61,279.69,9.86,79.43,1081.05,11.56,186.51,2,0
27.77408,95.98647,14.53,50.73,162.23,350.8,15.38,96.97,2851.95,27.04,325.86,0,1
18.46923,72.44509,4.7,18.52,66.09,311.42,32.39,91.99,3973.73,10.89,75.5,1,0
31.39588,88.45393,17.41,20.32,80.44,147.78,17.99,47.0,1650.01,27.58,214.84,3,0
11.47164,93.26441,8.24,35.84,84.62,229.84,20.33,66.28,2758.33,22.64,158.16,1,1
19.21089,69.8455,37.46,75.53,96.27,389.68,0.74,56.76,2777.43,21.4,78.94,0,0
29.34704,80.89152,11.84,23.71,55.83,178.7,26.06,56.31,3638.05,25.78,50.32,0,0
30.46132,89.78341,1.82,51.18,139.86,289.69,18.84,61.14,3914.91,41.93,111.41,2,1
34.72388,71.45069,3.87,9.75,66.35,325.14,6.02,58.02,4044.78,42.3,192.96,0,1
9.51459,94.21332,18.73,41.45,84.77,144.85,14.88,41.89,1435.42,9.43,329.75,0,0
35.41141,73.11702,26.69,63.52,96.31,207.75,15.49,96.35,1162.36,18.41,301.84,1,0
12.32357,89.27576,12.36,23.29,67.9,292.68,-1.83,40.32,2762.4,33.06,0.42,2,0
35.52941,91.37102,9.9,55.47,74.37,170.72,19.88,74.16,2664.07,32.35,184.85,7,1
33.64444,72.22937,20.91,35.63,42.14,159.19,33.86,41.37,3378.29,9.81,90.71,1,0
31.71289,71.26712,23.75,65.54,127.42,382.42,3.43,66.92,721.5,14.99,304.14,0,1
22.18977,84.45299,12.58,42.79,136.11,272.6,3.16,95.78,2707.46,48.16,84.45,0,1
12.05079,96.99338,1.33,17.85,61.68,234.82,19.49,53.16,2261.79,34.76,28.3,0,1
33.6357,85.22646,5.35,10.82,44.51,255.58,23.24,71.39,723.32,20.97,208.08,2,0
18.42922,93.43347,1.67,33.72,62.63,223.88,3.61,80.52,279.91,38.56,121.74,0,0
34.96633,84.10824,16.68,71.96,114.15,178.26,29.72,72.76,3079.82,24.29,307.96,1,0
11.67026,78.51696,1.65,20.85,81.69,257.7,3.47,58.74,1193.66,29.2,231.63,0,1
29.47521,88.55437,4.26,16.59,53.07,146.19,22.24,45.35,2928.96,9.32,282.57,1,0
33.0559,85.27365,1.48,17.17,31.32,288.63,12.05,54.47,973.44,44.13,77.5,0,1
8.05346,88.69652,29.73,43.78,66.28,403.17,9.79,53.34,2452.83,16.28,99.49,1,0
27.75486,69.90921,4.18,17.43,33.24,271.72,8.51,54.2,3135.01,20.0,296.98,1,0
13.72074,91.56262,4.22,21.1,126.0,238.02,5.26,88.25,1160.6,29.9,91.36,0,1
29.357,77.33307,60.13,63.7,108.3,506.51,12.86,92.51,102.45,20.34,32.39,0,1
10.25678,81.56046,21.06,34.51,82.72,335.66,32.6,72.2,1240.25,55.88,306.71,0,1
28.4927,93.32623,23.62,68.5,136.32,252.05,16.73,83.44,2467.28,36.04,269.09,1,1
28.04091,90.09668,0.87,21.52,53.79,330.07,5.2,80.4,3152.42,50.14,127.36,3,1
13.92903,83.30126,1.34,32.12,73.32,217.28,4.18,56.79,738.98,31.82,149.37,3,0
33.85926,72.10099,22.2,96.82,198.25,528.88,-0.43,68.77,611.86,37.42,195.23,4,1
